ID,Name,Kategorie,Basis_g,Zutat,Prozent,Typ,Allergen,Hinweis,Anweisung
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Pfeffer weiß,"0,20",spice,FALSE,,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Thymian,"0,15",spice,FALSE,,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Paprika edelsüß,"0,10",spice,FALSE,,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Muskat,"0,05",spice,FALSE,,
,,,,,,,,,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Rindfleisch R II,"40,00",base,FALSE,"mager, sehnenarm 0° bis 2° C","Schritt 1: Die eiskalte Vorbereitung
Fleisch und Fett in wolfgerechte Stücke schneiden. Das gesamte Fleisch muss auf 0 °C bis maximal 2 °C heruntergekühlt werden (leicht anfrosten hilft enorm!). Den Käse in exakte 5x5 mm Würfel schneiden und wieder in den Kühlschrank stellen – er darf beim späteren Einmischen nicht warm sein. Alle Gewürze (außer Käse) mit dem Meersalz vermischen.
Schritt 2: Wolfen & Emulsion (Das Feinbrät)
Die Profi-Route (Kutter):
Das Rindfleisch und Schweinefleisch (R II & S II) mit den Gewürzen und der Hälfte des Eises im Kutter feinst zerkleinern. Wenn das Brät ca. 4–6 °C erreicht hat, das Keulenfett (S VII) und das restliche Eis zugeben. Auskuttern bis exakt 12 °C bis max. 14 °C. Höher darf die Temperatur nicht steigen, sonst reißt die Bindung.
Der Hobby-Hack (Fleischwolf & Küchenmaschine):
Lass das eiskalte Fleisch und das Fett gemeinsam mit den Gewürzen durch die feinste Scheibe deines Wolfs (z. B. 2 mm oder 3 mm).
(Praxis-Tipp für die Frischetheke: Wenn du beim Supermarkt-Metzger kein reines, kerniges Keulen- oder Rückenfett bekommst, frage nach sehr fettem Schweinebauch ohne Schwarte oder einfachem weißen Speckabschnitt. Achtung: Dieses Ersatzfett ist weicher! Schneide es in Würfel und friere es für ca. 30–45 Minuten leicht an, bevor es in den Wolf geht. Schmiert das weiche Fett beim Wolfen, ist die Emulsion später ruiniert.)
Gib die gewolfte Masse in die Schüssel deiner Küchenmaschine (mit Flachrührer oder Haken). Gib nach und nach das eiskalte Crushed Ice (oder Eiswasser) dazu und lass die Maschine bei mittlerer Stufe kneten. Vergiss dabei feste Zeitangaben! Nutze stattdessen diese zwei Sicherheitsmechanismen:
Das Auge: Knete so lange, bis die Masse extrem klebrig, homogen und leicht glänzend wird. Im Gegensatz zum Hefeteig löst sich Fleischbrät nicht als saubere Kugel vom Rand. Das entscheidende Zeichen ist die Fadenbildung: Das Brät muss beim Rühren deutliche, klebrige Eiweiß-Fäden ziehen.
Das Küchenthermometer: Miss regelmäßig die Kerntemperatur! Die Masse darf beim Kneten 12 °C niemals überschreiten. Wenn das Brät zu warm wird, bevor die Bindung perfekt ist, stelle die Schüssel inkl. Haken und Brät nochmals kalt (Froster), bevor du weiterknetest.
Schritt 3: Die Käse-Integration (Manuelles Unterheben)
Die ausgekutterte oder durchgeknetete Fleischmasse (Feinbrät) in eine kalte Schüssel oder Wanne umfüllen.
Jetzt kommen die 140 g Käsewürfel ins Spiel: Den Käse per Hand oder mit einer Gummilippe vorsichtig unterheben. Nicht mehr kuttern oder stark maschinell rühren, sonst zerschlägst du den Käse. Wichtig: Profis nutzen hierfür einen Vakuumfüller. Als Hobby-Wurster nimmst du die Masse stattdessen portionsweise in die Hand und wirfst sie mit Schwung zurück in die Wanne. Das presst die Lufteinschlüsse mechanisch aus dem Brät.
Schritt 4: Füllen in den Darm
Die fertige Masse fest und blasenfrei in deinen Wurstfüller pressen. Welchen Darm du nutzt, ist absolute Geschmackssache. Meine Empfehlung für den perfekten Grill-Biss: Nutze einen Schweinedarm (Kaliber 28/30) oder größer.
Den Darm aufziehen und die Masse zügig füllen. Wichtig: Fülle den Darm nur zu ca. 80 bis 85 % (die sogenannte „weiche Füllung“). Der Meister-Kniff: Die Wurst muss sich zwischen Daumen und Zeigefinger noch locker leicht flach drücken lassen. Nur so haben das Brät und der schmelzende Käse beim Brühen und Grillen genug Platz, sich auszudehnen. Anschließend die Würste auf die gewünschte Länge abdrehen.
Schritt 5: Brühen & Stabilisieren (Die 72°C-Grenze)
Die Würste in heißes Wasser oder in einen Dämpfer geben. Das Wasser sollte zwischen 72 °C und maximal 78 °C haben. Brühe die Chili Cheese Griller, bis sie im Kern 72 °C erreicht haben (Richtwert: bei Kaliber 28/30 ca. 30 bis 35 Minuten). Wichtig: Die Wassertemperatur darf die 80 °C-Marke nicht überschreiten, da sonst das Fett im Brät schmilzt.
Danach die Würste sofort abkühlen, um den Garprozess zu stoppen und die Hülle zu straffen. Hierfür gibt es zwei Wege:
Das Wasserbad: Die Würste in ein eiskaltes Wasserbad eintauchen (Immersionskühlung), bis sie komplett durchgekühlt sind.
Das Duschen: Die Würste unter fließendem, kalten Wasser intensiv abschrecken, bis die Oberfläche stabilisiert ist.
Sobald sie abgetrocknet sind, können sie vakuumiert oder direkt auf den Grill gelegt werden.
Haltbarkeit & Lagerung
Für die Sicherheit und den optimalen Genuss gelten folgende Richtwerte:
Frisch (Roh / Ungebrüht): Falls die Würste nicht sofort gebrüht werden, sind sie extrem empfindlich. Lagerung maximal 24 Stunden bei konstant unter 2 °C.
Gebrüht (Vakuumiert): Nach dem Abschrecken und vollständigen Abtrocknen vakuumiert bei maximal 4 °C lagern. Haltbarkeit: 10 bis 14 Tage.
Gebrüht & Tiefgefroren: Im Vakuumbeutel bei -18 °C tiefkühlen. Haltbarkeit: 6 Monate für optimalen Geschmack (bis zu 12 Monate technisch möglich)."
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Schweinefleisch S II,"16,00",base,FALSE,80/20 Sortierung 0° bis 2° C,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Schweine-Keulenfett S VII,"15,00",base,FALSE,"frisch, kernig 0° bis 2° C",
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Crushed Ice,"15,00",base,FALSE,eiskalt,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Bergkäse (gewürfelt),"14,00",base,TRUE,"MILCH, 5mm Würfel",
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Meersalz fein,"1,80",spice,FALSE,ohne Trennmittel,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Zwiebelgranulat,"0,70",spice,FALSE,trocken,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Knoblauchgranulat,"0,30",spice,FALSE,trocken,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Pfeffer weiß,"0,30",spice,FALSE,gemahlen,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Paprika edelsüß,"0,25",spice,FALSE,,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Senfmehl,"0,20",spice,TRUE,SENF,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Chili gemahlen,"0,15",spice,FALSE,Schärfe prüfen,
CC-Griller,Chili Cheese Griller,Brühwurst,"10.000,00",Majoran,"0,05",spice,FALSE,gerebelt,
,,,,,,,,,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",RII,"77,00",base,FALSE,0° bis 2° C,"Schritt 1: Die Wein-Infusion

Mische alle trockenen Gewürze (außer Salz) im Rotwein an und lasse diese Infusion ca. 15 Minuten rehydrieren. Dies verhindert, dass trockene Gewürze dem Brät punktuell Feuchtigkeit entziehen. Die Knoblauchflocken saugen sich mit Wein voll und verteilen ihr Aroma später homogen im Brät.

Schritt 2: Wolfen (Der feine Schnitt)

Das Fleisch (R II und R IV) auf ca. 0 °C bis 2 °C kühlen. Beide Sorten gemeinsam durch die 3-mm-Scheibe wolfen. Achte auf scharfe Messer, damit das Rinderfett nicht schmiert – Rindertalg hat ein anderes Schmelzverhalten als Schweinespeck!

Schritt 3: Mengen & Bindung

Gib die gewolfte Masse, das Meersalz und die Wein-Gewürzmischung in die Rührschüssel.

Mengen: Kräftig mengen, bis die Masse eine deutliche Bindung aufweist (Fäden zieht). Im Gegensatz zum Patty brauchen wir hier im Darm eine stabilere Struktur.

Hobby-Tipp: Nutze zum Mengen kalte Rührhaken oder arbeite zügig von Hand, um die 12 °C Marke niemals zu überschreiten.

Schritt 4: Füllen & Abdrehen

Blasenfrei in Schafssaitlinge (Kaliber 28+) füllen. Auf ca. 12–14 cm Länge abdrehen.

Tipp: Nicht zu stramm füllen, da sich das Brät beim Braten durch den Wein-Anteil leicht ausdehnt.

Haltbarkeit & Lagerung

Da es sich um eine frische Wurst mit Rotwein handelt, ist sie mikrobiologisch sehr sensibel:

Frisch: Innerhalb von 12 bis 24 Stunden verzehren. Lagerung bei max. 2 °C.

Vakuumiert: Gekühlt bei max. 4 °C bis zu 2 Tage. Beachte den schnellen Farbumschlag durch die Reaktion der Weinsäure mit dem Myoglobin.

Tiefgekühlt: Im Vakuumbeutel bei -18 °C bis zu 4 Monate. (Hinweis: Die Farbe kann durch den Wein nach 3 Monaten leicht nachdunkeln)."
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",RIV,"20,00",spice,FALSE,0° bis 2° C,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Rotwein,"3,00",spice,TRUE,Sulphite,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Meersalz fein,"2,00",spice,FALSE,,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Paprika edelsüß,"1,80",spice,FALSE,in Wein rehydrieren,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Pfeffer weiß gemahlen,"0,30",spice,FALSE,in Wein rehydrieren,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Chili gemahlen,"0,25",spice,FALSE,in Wein rehydrieren,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Knoblauchflocken,"0,25",spice,FALSE,in Wein rehydrieren,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Cayenne,"0,20",spice,FALSE,in Wein rehydrieren,
Gallo-Rizo-BW,Frische Bratwurst Gallo-Rizo,frische Bratwurst,"10.000,00",Koriander,"0,15",spice,FALSE,in Wein rehydrieren,
,,,,,,,,,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",RII,"70,00",base,FALSE,0° bis 2° C,"Schritt 1: Die Zitronen-Infusion

Zitronensaft und eiskaltes Wasser vermischen. Die trockenen Gewürze (außer das Salz) darin ca. 10 Minuten rehydrieren lassen. Das Wasser dient als homogener Trägerstoff für die Säure.

Schritt 2: Wolfen (Der feine Schnitt)

Das Fleisch (R II) und das Fett (R IV) auf ca. 0 °C kühlen. Gemeinsam durch die 3-mm-Scheibe wolfen. Ein scharfer Schnitt ist hier entscheidend, damit das Rinderfett im Darm später nicht als talgiger Belag wahrgenommen wird.

Schritt 3: Mengen & Bindung

Gib die gewolfte Masse, das Meersalz und die Zitronen-Infusion in die Rührschüssel.

Mengen: Kräftig mengen, bis eine deutliche Bindung entsteht (Fäden ziehen). Da wir kein Phosphat nutzen, ist die Eiweiß-Extraktion durch mechanische Energie und Salz unser einziger Bindungs-Hebel.

Temperatur-Check: Die Masse sollte während des Mengens die 10 °C Marke nicht überschreiten.

Schritt 4: Füllen & Abdrehen

Blasenfrei in Schafssaitlinge (Kaliber 24/26) füllen. Auf ca. 12–14 cm Länge abdrehen. Die Saitlinge nicht zu prall füllen, damit sie beim Braten nicht platzen.

Haltbarkeit & Lagerung

Geflügel und Frischfleisch mit Säure sind mikrobiologisch hochaktiv:

Frisch: Innerhalb von 12 bis 24 Stunden verzehren. Lagerung bei max. 2 °C.

Vakuumiert: Gekühlt bei max. 4 °C bis zu 2 Tage. (Die Zitrone kann die Farbe des Fleisches leicht aufhellen).

Tiefgekühlt: Im Vakuumbeutel bei -18 °C bis zu 4 Monate."
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",RIV,"27,00",spice,FALSE,0° bis 2° C,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Zitronensaft,"0,25",spice,FALSE,mit Wasser mischen,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",eiskaltes Wasser,"2,75",spice,FALSE,mit Zitronensaft mischen,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Meersalz fein,"2,00",spice,FALSE,,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Pfeffer weiß,"0,20",spice,FALSE,,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Thymian,"0,15",spice,FALSE,,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Paprika edelsüß,"0,10",spice,FALSE,,
G-BW,Frische Bratwurst vom Galloway,frische Bratwurst,"10.000,00",Muskat,"0,05",spice,FALSE,,
,,,,,,,,,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",HII,"70,00",base,FALSE,0° bis 2° C,"Schritt 1: Die Gewürz-Infusion

Mische den Majoran, Pfeffer, Muskat, Paprika und Piment in das eiskalte Wasser. Lasse diese Mischung ca. 10 Minuten ziehen, damit der Majoran rehydrieren kann. Das Salz bleibt separat.

Schritt 2: Wolfen (Der Kälte-Schnitt)

Das Fleisch und die Haut müssen angefrostet sein (-1°C bis -2°C).

Haut und Fleisch mischen.

Gemeinsam durch die 3-mm-Scheibe wolfen.
Wenn die Masse schmiert, ist sie zu warm oder die Messer sind stumpf. Geflügelfett schmilzt extrem früh!

Schritt 3: Mengen & Bindung (Die Integration)

Gib die Masse, das Meersalz und die Gewürz-Infusion in die Rührschüssel.

Mengen: Nur so lange, bis eine gute Bindung (Klebrigkeit) entsteht. Bei Geflügel geht das sehr schnell.

Temperatur-Kontrolle: Ziel-Endtemperatur der Masse: max. 4°C.

Schritt 4: Füllen

Blasenfrei in Schafssaitlinge (Kaliber 20/22 oder 22/24) füllen. Auf ca. 12 cm abdrehen.

Haltbarkeit & Lagerung

Geflügel ist mikrobiologisch hochempfindlich:

Frisch: Innerhalb von 12 Stunden verzehren. Lagerung bei < 2°C.

Vakuumiert: Gekühlt max. 48 Stunden.

Tiefgekühlt: Im Vakuumbeutel bei -18°C bis zu 4 Monate."
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",HIV,"27,00",base,FALSE,0° bis 2° C,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",eiskaltes Wasser,"3,00",base,FALSE,0° bis 2° C,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Meersalz fein,"1,80",spice,FALSE,,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Majoran,"0,40",spice,FALSE,mit Wasser mischen,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Pfeffer weiß,"0,20",spice,FALSE,mit Wasser mischen,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Muskat,"0,10",spice,FALSE,mit Wasser mischen,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Paprika edelsüß,"0,10",spice,FALSE,mit Wasser mischen,
H-BW,Frische Bratwurst vom Hähnchen,frische Bratwurst,"10.000,00",Piment gemahlen,"0,05",spice,FALSE,mit Wasser mischen,
,,,,,,,,,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",SII,"77,00",base,FALSE,0° bis 2° C,"Schritt 1: Die Zitronen-Infusion

Mische den Zitronensaft mit dem eiskalten Wasser und den trockenen Gewürzen (Thymian, Pfeffer, Paprika, Muskat). Lasse diese Mischung ca. 10 Minuten ziehen. Das Salz bleibt separat.

Schritt 2: Wolfen (Der Präzisions-Schnitt)

Das Fleisch (S II) und der Speck (S IV) müssen eiskalt sein (ca. 0 °C bis 2 °C).

Fleisch und Speck mischen.

Gemeinsam durch die 3-mm-Scheibe wolfen.
Tipp: Ein scharfer Schnitt ist für die Optik im Saitling entscheidend. Achte darauf, dass der Speck beim Wolfen nicht schmiert, um eine klare Fettkörnung im Brät zu erhalten.

Schritt 3: Mengen & Eiweiß-Aktivierung

Gib die Masse, das Meersalz und die Zitronen-Infusion in die Rührschüssel.

Mengen: Kräftig mengen, bis die Masse eine deutliche Bindung (Klebrigkeit) aufweist.

Temperatur-Kontrolle: Die Masse sollte beim Mengen die 12 °C Marke nicht überschreiten, um die Fettstabilität nicht zu gefährden.

Schritt 4: Füllen

Blasenfrei in den Wurstfüller geben. Je nach gewünschtem Charakter hast du zwei erstklassige Optionen:

Die elegante Variante: Schafssaitlinge (Kaliber 24/26) für einen feinen Biss und schnelles Durchgaren.

Die rustikale Variante: Schweinedärme (Kaliber 28/30) oder Saitling 28+ (unser Standard) für das klassische Rostbratwurst-Format mit kräftigem „Knack“.

Auf ca. 12–14 cm abdrehen.

Haltbarkeit & Lagerung

Frische Bratwurst vom Schwein ist ein klassisches Tagesprodukt:

Frisch: Maximal 24 Stunden bei < 4 °C.

Vakuumiert: Gekühlt max. 3 Tage.

Tiefgekühlt: Im Vakuumbeutel bei -18 °C bis zu 6 Monate."
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",SIV,"20,00",spice,FALSE,0° bis 2° C,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Zitronensaft,"0,30",spice,FALSE,mit Wasser mischen,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",eiskaltes Wasser,"2,70",spice,FALSE,mit Zitronensaft mischen,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Meersalz fein,"2,00",spice,FALSE,,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Pfeffer weiß,"0,20",spice,FALSE,in Wasser-Zitronensaft-Mischung rehydrieren,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Thymian,"0,15",spice,FALSE,in Wasser-Zitronensaft-Mischung rehydrieren,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Paprika edelsüß,"0,10",spice,FALSE,in Wasser-Zitronensaft-Mischung rehydrieren,
S-BW,Frische Bratwurst vom Schwein,frische Bratwurst,"10.000,00",Muskat,"0,05",spice,FALSE,in Wasser-Zitronensaft-Mischung rehydrieren,
,,,,,,,,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00","Galloway RIV (Wade/Bug/Brust, gegart)","35,00",base,FALSE,,"Leber mit Salz fein kuttern, entnehmen, Fleisch gegart, 5mm gewolft, Leber unterheben, Glas oder Kunstdarm."
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Schweinebauch ohne Schwarte,"20,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Schweinebacke / Wamme,"20,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Rinderleber,"18,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Zwiebeln,"5,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Apfel,"2,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Bio-Kartoffelpüree-Pulver,"2,00",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Meersalz,"1,80",spice,FALSE,"extra Schüssel, mit Leber schaumig kuttern",
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Pfeffer weiß,"0,20",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Majoran,"0,15",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Knoblauchgranulat,"0,10",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Zwiebelgranulat,"0,10",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Muskat,"0,08",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Piment,"0,05",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Zitronenpulver,"0,03",spice,FALSE,,
GS-Pfälzer-LW,Galloway & Schwein Pfälzer Leberwurst,Kochwurst,"10.000,00",Ingwer,"0,02",spice,FALSE,,
,,,,,,,,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Trinkwasser,"150,00",base,FALSE,,"Knochen/Sehnen 12h simmern, klären, Glas."
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Galloway Sehnen / Parüren / Silberhaut,"60,00",base,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Galloway Gelenk-Knochen (klein gesägt),"60,00",base,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Zwiebeln (mit Schale),"15,00",spice,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Karotten / Sellerie (grob),"5,00",spice,TRUE,SELLERIE,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Apfelessig (Naturtrüb),"3,00",spice,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Meersalz,"0,80",spice,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Pfeffer,"0,10",spice,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Lorbeer,"0,05",spice,FALSE,,
G-Aspik,Galloway Aspik,Konserven,"10.000,00",Piment,"0,05",spice,FALSE,,
,,,,,,,,,
LapCheong,Galloway Lap Cheong (Bio),Rohwurst,"10.000,00",Galloway Rindfleisch R II,"75,00",base,FALSE,,"Wolf 5mm, Schneeball, Saitling 22/24. Reifung: 3 Tg 20°C, dann Kaltrauch."
LapCheong,Galloway Lap Cheong (Bio),Rohwurst,"10.000,00",Schweine-Rückenspeck S VIII,"23,00",base,FALSE,,
LapCheong,Galloway Lap Cheong (Bio),Rohwurst,"10.000,00",Rohrohrzucker,"3,50",spice,FALSE,,
